timestamp,voltage_ch0,voltage_ch1,percent_ch0,percent_ch1,percent_mean,valid,watered,pump_seconds,device
2026-07-06T00:43:42Z,1.8,1.1452,73.9,57.9,65.9,true,false,0,potpi-esp01
2026-07-06T01:43:42Z,1.8,1.1452,73.9,57.9,65.9,true,false,0,potpi-esp01
2026-07-06T02:43:42Z,1.8,1.1452,73.9,57.9,65.9,true,false,0,potpi-esp01
2026-07-06T03:43:42Z,1.8032,1.1484,73.7,57.6,65.6,true,false,0,potpi-esp01
2026-07-06T04:43:42Z,1.8032,1.1484,73.7,57.6,65.6,true,false,0,potpi-esp01
2026-07-06T05:43:42Z,1.8065,1.1484,73.4,57.6,65.5,true,false,0,potpi-esp01
2026-07-06T06:43:42Z,1.8065,1.1516,73.4,57.3,65.4,true,false,0,potpi-esp01
2026-07-06T07:43:42Z,1.8081,1.1548,73.3,57,65.2,true,false,0,potpi-esp01
2026-07-06T08:43:42Z,1.8129,1.1581,73,56.8,64.9,true,false,0,potpi-esp01
2026-07-06T09:43:42Z,1.8161,1.1645,72.8,56.2,64.5,true,false,0,potpi-esp01
2026-07-06T10:43:42Z,1.8161,1.1645,72.8,56.2,64.5,true,false,0,potpi-esp01
2026-07-06T11:43:42Z,1.8226,1.1613,72.4,56.5,64.5,true,false,0,potpi-esp01
2026-07-06T12:43:42Z,1.8194,1.1613,72.6,56.5,64.6,true,false,0,potpi-esp01
2026-07-06T13:43:42Z,1.8194,1.1613,72.6,56.5,64.6,true,false,0,potpi-esp01
2026-07-06T15:37:23Z,1.8532,1.1161,70.4,60.3,65.4,true,false,0,potpi-esp01
2026-07-06T16:37:23Z,1.8806,1.1645,68.6,56.2,62.4,true,false,0,potpi-esp01
2026-07-06T17:37:23Z,1.8839,1.1677,68.4,56,62.2,true,false,0,potpi-esp01
2026-07-06T18:37:23Z,1.8839,1.171,68.4,55.7,62.1,true,false,0,potpi-esp01
2026-07-06T19:37:23Z,1.8871,1.171,68.2,55.7,62,true,false,0,potpi-esp01
2026-07-06T20:37:24Z,1.8871,1.171,68.2,55.7,62,true,false,0,potpi-esp01
2026-07-06T21:37:24Z,1.8871,1.1742,68.2,55.4,61.8,true,false,0,potpi-esp01
2026-07-06T22:37:24Z,1.8871,1.1742,68.2,55.4,61.8,true,false,0,potpi-esp01
2026-07-06T23:37:24Z,1.8871,1.1742,68.2,55.4,61.8,true,false,0,potpi-esp01
