timestamp,voltage_ch0,voltage_ch1,percent_ch0,percent_ch1,percent_mean,valid,watered,pump_seconds,device
2026-08-12T00:14:06Z,1.6226,0.8194,85.4,85.3,85.3,true,false,0,potpi-esp01
2026-08-12T01:14:06Z,1.6194,0.8194,85.6,85.3,85.4,true,false,0,potpi-esp01
2026-08-12T02:14:06Z,1.6065,0.8226,86.4,85,85.7,true,false,0,potpi-esp01
2026-08-12T03:14:06Z,1.6032,0.8226,86.6,85,85.8,true,false,0,potpi-esp01
2026-08-12T04:14:06Z,1.6032,0.8226,86.6,85,85.8,true,false,0,potpi-esp01
2026-08-12T05:14:06Z,1.6129,0.821,86,85.2,85.6,true,false,0,potpi-esp01
2026-08-12T06:14:06Z,1.6161,0.8258,85.8,84.8,85.3,true,false,0,potpi-esp01
2026-08-12T07:14:06Z,1.6065,0.8129,86.4,85.9,86.1,true,false,0,potpi-esp01
2026-08-12T08:14:06Z,1.5935,0.8129,87.3,85.9,86.6,true,false,0,potpi-esp01
2026-08-12T09:14:07Z,1.6032,0.8161,86.6,85.6,86.1,true,false,0,potpi-esp01
2026-08-12T10:14:07Z,1.6065,0.8194,86.4,85.3,85.9,true,false,0,potpi-esp01
2026-08-12T11:14:07Z,1.6161,0.8226,85.8,85,85.4,true,false,0,potpi-esp01
