timestamp,voltage_ch0,voltage_ch1,percent_ch0,percent_ch1,percent_mean,valid,watered,pump_seconds,device
2026-09-23T00:15:08Z,2.0871,1.3806,55.2,38,46.6,true,false,0,potpi-esp01
2026-09-23T01:15:08Z,2.0871,1.3806,55.2,38,46.6,true,false,0,potpi-esp01
2026-09-23T02:15:08Z,2.0903,1.3839,55,37.8,46.4,true,false,0,potpi-esp01
2026-09-23T03:15:08Z,2.0903,1.3839,55,37.8,46.4,true,false,0,potpi-esp01
2026-09-23T04:15:09Z,2.0903,1.3839,55,37.8,46.4,true,false,0,potpi-esp01
2026-09-23T05:15:09Z,2.0935,1.3839,54.8,37.8,46.3,true,false,0,potpi-esp01
2026-09-23T06:15:09Z,2.0935,1.3871,54.8,37.5,46.2,true,false,0,potpi-esp01
2026-09-23T07:15:09Z,2.1032,1.3903,54.2,37.2,45.7,true,false,0,potpi-esp01
2026-09-23T08:15:09Z,2.1,1.3871,54.4,37.5,45.9,true,false,0,potpi-esp01
