timestamp,voltage_ch0,voltage_ch1,percent_ch0,percent_ch1,percent_mean,valid,watered,pump_seconds,device
2026-08-28T00:14:30Z,1.5677,0.8677,88.9,81.2,85.1,true,false,0,potpi-esp01
2026-08-28T01:14:30Z,1.5677,0.871,88.9,81,84.9,true,false,0,potpi-esp01
2026-08-28T02:14:30Z,1.5677,0.871,88.9,81,84.9,true,false,0,potpi-esp01
2026-08-28T03:14:30Z,1.5694,0.871,88.8,81,84.9,true,false,0,potpi-esp01
2026-08-28T04:14:30Z,1.571,0.871,88.7,81,84.8,true,false,0,potpi-esp01
2026-08-28T05:14:30Z,1.571,0.871,88.7,81,84.8,true,false,0,potpi-esp01
2026-08-28T06:14:30Z,1.571,0.8742,88.7,80.7,84.7,true,false,0,potpi-esp01
2026-08-28T07:14:30Z,1.571,0.871,88.7,81,84.8,true,false,0,potpi-esp01
2026-08-28T08:14:30Z,1.571,0.8742,88.7,80.7,84.7,true,false,0,potpi-esp01
2026-08-28T09:14:30Z,1.571,0.8742,88.7,80.7,84.7,true,false,0,potpi-esp01
